gene_symbol,liver_tpm
C19orf60,49.5749
TCEA3,49.4811
SNRPB,49.4151
RNF181,49.4126
RP11-613D13.10,49.3599
RHOT2,49.3412
IL17RC,49.3241
IDI1,49.2806
BTG1,49.2454
SLC40A1,49.2364
NUPR1,49.2265
TACO1,49.1862
SSNA1,49.1859
MRPL14,49.0923
C19orf53,49.0304
GCH1,49.0302
CSTB,48.9647
STBD1,48.9524
FGFR4,48.8903
SCAND1,48.888
EGR1,48.8592
PGK1,48.803
STRAP,48.7994
MLEC,48.7855
BCKDHA,48.7703
FAM96A,48.737
ALDH9A1,48.6603
UBE2L6,48.6292
GUSB,48.6265
DIAPH1,48.5084
PSMC4,48.5018
POLD2,48.4445
DNPH1,48.3548
PAPSS2,48.331
TNFRSF14,48.2823
FETUB,48.2739
TMX2,48.2631
ATP5L,48.253
PLOD1,48.2449
TIMM8B,48.1228
ACP2,48.116
ABCG8,48.0676
DIO1,48.0334
C16orf58,47.9849
IGKJ5,47.9841
SELENOH,47.9143
RETSAT,47.8105
HNRNPM,47.7063
RAD23A,47.7026
YIPF3,47.6538
SNX17,47.5478
HMOX1,47.5049
LPIN2,47.5026
F11R,47.4911
KLHDC3,47.451
RP11-622A1.2,47.4441
GUK1,47.4298
UAP1,47.424
STOML2,47.3429
OCIAD1,47.3334
PDK4,47.2726
MRPS5,47.2585
MANF,47.2397
TMEM37,47.2156
SLC12A7,47.103
TMEM219,47.0831
SRRT,47.0318
APOA4,46.9917
CMTM6,46.9531
IL13RA1,46.8204
COPS6,46.7722
XRCC5,46.698
HNRNPA3,46.697
SF3B1,46.6958
SNRPD3,46.6597
UGDH,46.6488
ATP1B1,46.6405
PGLS,46.6282
PMPCA,46.622
IGKJ3,46.5429
TAF15,46.4413
MORF4L1,46.3652
TRPC4AP,46.2972
NDFIP1,46.293
RAB14,46.2317
BAG6,46.2192
RTN4,46.2098
CSRP1,46.1952
SEC61G,46.1926
FAM127A,46.1343
PSMD13,46.0772
SUMO1,46.0386
NONO,45.9517
TMEM214,45.919
GYS2,45.8603
EXOC3L4,45.8474
ADRM1,45.8447
CNPY2,45.7947
TNIP1,45.6714
PDXDC1,45.6429
GRB14,45.6323
PGLYRP2,45.6275
TRIM28,45.6003
EBPL,45.593
MUT,45.5825
TGOLN2,45.5157
DSTN,45.455
ATP5G3,45.4388
HNRNPC,45.4281
ARPC1A,45.3941
TCIRG1,45.389
ATP5F1,45.3275
SMCO4,45.3084
C10orf10,45.299
RXRA,45.2928
HDAC6,45.2912
GAS5,45.2649
EID1,45.2477
NDUFA6,45.2198
DNAJB11,45.2123
MPDU1,45.1781
ADHFE1,45.1761
ERGIC1,45.1618
EIF4B,45.1616
NAT2,45.1547
SMPD1,45.1142
