distribution,loo_influence
background,0.034091201392520885
background,0.018751887207100932
background,0.01729779085377722
background,0.005494588350209211
background,0.01642370054280355
background,0.00954938909422897
background,0.006567853624283968
background,0.009517444043095272
background,0.009463810598032373
background,0.015715564489481745
background,0.007865686960806874
background,0.00943312615597207
background,0.006603314027238494
background,0.009657520971780213
background,0.007298676807297772
background,0.02269161207609913
background,0.009827079039554406
background,0.012268711076181738
background,0.014969856722886334
background,0.016254984192714813
background,0.01718750750488341
background,0.012076838910366226
background,0.00927433269299666
background,0.00952109995514107
background,0.006799474225800766
background,0.006276285616276571
background,0.01015182190402971
background,0.01310138366194778
background,0.00904303639884935
background,0.00700569064597725
background,0.005839175390146226
background,0.01550868646849919
background,0.013799061312394388
background,0.0181276493822411
background,0.007480356349377583
background,0.006757856731104449
background,0.014531039139832653
background,0.009545189730120841
background,0.01023362043495359
background,0.014746379877666856
background,0.01948866008353389
background,0.009842900848010549
background,0.008408020128328373
background,0.03264848764777761
background,0.006228721612191686
background,0.015082862793052335
